2,25000,2,i2t1,3,0.00263,0.817,0.808
3,25000,2,i3t2,1,0.00232,-0.175,0.292
1,25000,2,i1t2,3,0.00264,1.000,0.900
0,25000,2,i0t1,2,0.00108,0.575,0.133
3,50000,2,i3t2,1,0.00232,2.333,-1.133
2,50000,2,i2t3,2,0.00379,1.850,-1.133
0,50000,2,i0t1,2,0.00108,-0.408,-1.533
1,50000,2,i1t3,3,0.00132,1.717,-0.692
3,75000,2,i3t2,1,0.00232,-2.042,-0.300
2,75000,2,i2t3,2,0.00076,-0.592,0.492
0,75000,2,i0t1,2,0.00108,-1.050,-0.208
3,100000,2,i3t3,1,0.00116,-0.342,-3.825
1,75000,2,i1t0,3,0.00329,-0.733,0.125
2,100000,2,i2t1,2,0.00152,0.958,-3.300
0,100000,2,i0t0,2,0.00054,-0.133,-3.433
3,125000,2,i3t0,1,0.00116,0.750,-0.558
2,125000,2,i2t3,2,0.00076,1.625,-0.475
1,100000,2,i1t2,3,0.00264,0.650,-2.358
3,150000,2,i3t0,1,0.00116,2.700,-0.875
0,125000,2,i0t3,2,0.00054,-0.992,-0.317
2,150000,2,i2t2,2,0.00061,1.500,-0.658
0,150000,2,i0t3,2,0.00054,0.550,-0.025
1,125000,2,i1t3,3,0.00132,-0.142,0.083
3,175000,4,i3t0,1,0.00116,1.200,-0.850
2,175000,4,i2t0,2,0.00152,1.967,-0.217
1,150000,2,i1t3,3,0.00132,1.392,-0.833
0,175000,4,i0t0,2,0.00034,1.817,-0.933
3,200000,4,i3t1,1,0.00058,0.200,0.183
2,200000,4,i2t3,2,0.00304,-0.075,1.308
1,175000,4,i1t0,3,0.00105,3.017,-0.042
0,200000,4,i0t3,2,0.00054,0.825,1.342
3,225000,4,i3t3,1,0.00093,0.758,-0.083
2,225000,4,i2t1,2,0.00038,1.150,-0.050
3,250000,4,i3t1,1,0.00058,0.900,-1.417
0,225000,4,i0t0,2,0.00054,-0.333,-0.683
1,200000,4,i1t3,3,0.00105,-0.175,1.667
2,250000,4,i2t1,2,0.00038,0.642,-0.967
0,250000,4,i0t2,2,0.00027,0.442,-1.142
1,225000,4,i1t1,3,0.00053,1.142,-0.067
1,250000,4,i1t1,3,0.00053,0.533,-1.233
5,1920,4,ppo,0,0.00030,0.925,1.450
5,3840,4,ppo,0,0.00030,2.058,0.817
5,5760,4,ppo,0,0.00030,2.308,2.917
5,7680,4,ppo,0,0.00030,4.367,2.558
5,9600,4,ppo,0,0.00030,3.692,1.417
5,11520,4,ppo,0,0.00030,2.308,1.225
5,13440,4,ppo,0,0.00030,1.500,1.375
5,15360,4,ppo,0,0.00030,1.483,0.558
5,17280,4,ppo,0,0.00030,1.900,3.150
5,19200,4,ppo,0,0.00030,4.133,3.625
5,21120,4,ppo,0,0.00030,3.833,2.575
5,23040,4,ppo,0,0.00030,2.000,1.592
5,24960,4,ppo,0,0.00030,2.092,2.208
5,26880,4,ppo,0,0.00030,0.617,1.342
5,28800,4,ppo,0,0.00030,2.258,1.958
5,30720,4,ppo,0,0.00030,2.867,1.733
5,32640,4,ppo,0,0.00030,4.658,1.633
5,34560,4,ppo,0,0.00030,4.700,0.425
5,36480,4,ppo,0,0.00030,2.542,0.433
5,40000,4,ppo,0,0.00030,1.292,1.283
5,41920,4,ppo,0,0.00030,2.042,0.808
5,43840,4,ppo,0,0.00030,2.575,2.967
5,45760,4,ppo,0,0.00030,3.908,4.067
5,47680,4,ppo,0,0.00030,3.783,1.717
5,49600,4,ppo,0,0.00030,2.808,1.400
5,51520,4,ppo,0,0.00030,2.017,2.208
5,53440,4,ppo,0,0.00030,1.000,1.842
5,55360,4,ppo,0,0.00030,2.833,2.200
5,57280,4,ppo,0,0.00030,2.375,1.775
5,59200,4,ppo,0,0.00030,3.950,2.217
5,61440,4,ppo,0,0.00030,2.242,1.625
5,63360,4,ppo,0,0.00030,1.558,0.733
5,65280,4,ppo,0,0.00030,2.075,2.633
5,67200,4,ppo,0,0.00030,4.342,3.683
5,69120,4,ppo,0,0.00030,4.542,2.008
5,71040,4,ppo,0,0.00030,1.783,1.667
5,72960,4,ppo,0,0.00030,2.908,2.475
5,74880,4,ppo,0,0.00030,-0.133,1.250
5,76800,4,ppo,0,0.00030,2.550,2.017
5,78720,4,ppo,0,0.00030,3.092,2.450
5,80640,4,ppo,0,0.00030,3.917,2.008
5,82560,4,ppo,0,0.00030,3.725,0.958
5,84480,4,ppo,0,0.00030,3.192,0.100
5,86400,4,ppo,0,0.00030,2.717,3.250
6,16,4,exploiter,0,0.00030,6.000,-4.125
6,1920,4,exploiter,0,0.00030,2.358,0.558
6,3840,4,exploiter,0,0.00030,2.550,-1.117
6,5760,4,exploiter,0,0.00030,3.367,0.175
6,7680,4,exploiter,0,0.00030,3.275,1.783
6,7920,4,exploiter,0,0.00030,1.958,0.792
6,9840,4,exploiter,0,0.00030,1.108,-0.767
6,11760,4,exploiter,0,0.00030,2.758,0.308
6,13680,4,exploiter,0,0.00030,3.858,2.008
6,15600,4,exploiter,0,0.00030,4.875,1.133
6,17520,4,exploiter,0,0.00030,3.117,0.058
6,19440,4,exploiter,0,0.00030,2.483,0.875
6,21360,4,exploiter,0,0.00030,0.067,0.333
6,23280,4,exploiter,0,0.00030,2.508,-0.817
6,25200,4,exploiter,0,0.00030,2.808,-0.333
6,27120,4,exploiter,0,0.00030,3.967,-1.617
6,29040,4,exploiter,0,0.00030,4.800,-0.567
6,30960,4,exploiter,0,0.00030,3.467,-0.717
6,32880,4,exploiter,0,0.00030,4.125,1.500
6,34800,4,exploiter,0,0.00030,2.042,0.408
6,36720,4,exploiter,0,0.00030,4.742,-0.175
6,38640,4,exploiter,0,0.00030,4.233,2.500
6,40560,4,exploiter,0,0.00030,5.392,0.225
6,42480,4,exploiter,0,0.00030,2.792,1.525
6,44400,4,exploiter,0,0.00030,2.925,0.175
6,46320,4,exploiter,0,0.00030,3.500,0.833
6,48240,4,exploiter,0,0.00030,2.308,0.675
6,50160,4,exploiter,0,0.00030,1.033,0.008
5,101920,4,ppo,0,0.00030,2.292,1.667
5,103840,4,ppo,0,0.00030,1.925,0.725
5,105760,4,ppo,0,0.00030,3.175,3.508
5,108320,4,ppo,0,0.00030,2.367,1.692
7,108320,4,diet,0,0.00030,1.200,nan
5,110240,4,ppo,0,0.00030,0.933,0.917
7,110240,4,diet,0,0.00030,0.800,nan
5,112160,4,ppo,0,0.00030,1.742,1.575
7,112160,4,diet,0,0.00030,1.367,nan
5,114080,4,ppo,0,0.00030,1.783,1.008
7,114080,4,diet,0,0.00030,1.025,nan
5,116000,4,ppo,0,0.00030,2.467,3.417
7,116000,4,diet,0,0.00030,0.717,nan
5,117920,4,ppo,0,0.00030,5.050,3.725
7,117920,4,diet,0,0.00030,0.983,nan
5,119840,4,ppo,0,0.00030,4.233,2.425
7,119840,4,diet,0,0.00030,0.067,nan
5,121760,4,ppo,0,0.00030,2.867,1.808
7,121760,4,diet,0,0.00030,0.375,nan
5,123680,4,ppo,0,0.00030,2.700,2.800
7,123680,4,diet,0,0.00030,1.592,nan
5,125600,4,ppo,0,0.00030,0.758,2.008
7,125600,4,diet,0,0.00030,1.900,nan
5,127520,4,ppo,0,0.00030,2.558,2.842
7,127520,4,diet,0,0.00030,0.558,nan
5,129440,4,ppo,0,0.00030,1.900,2.300
7,129440,4,diet,0,0.00030,1.667,nan
5,131360,4,ppo,0,0.00030,4.700,1.483
7,131360,4,diet,0,0.00030,3.433,nan
5,133280,4,ppo,0,0.00030,4.308,0.967
7,133280,4,diet,0,0.00030,2.717,nan
5,135200,4,ppo,0,0.00030,2.567,0.158
7,135200,4,diet,0,0.00030,2.458,nan
5,137120,4,ppo,0,0.00030,3.842,2.558
7,137120,4,diet,0,0.00030,1.067,nan
5,139040,4,ppo,0,0.00030,1.683,-0.133
7,139040,4,diet,0,0.00030,0.908,nan
5,140960,4,ppo,0,0.00030,4.133,1.875
7,140960,4,diet,0,0.00030,1.125,nan
5,142880,4,ppo,0,0.00030,3.058,3.992
7,142880,4,diet,0,0.00030,1.667,nan
5,144800,4,ppo,0,0.00030,5.858,2.283
7,144800,4,diet,0,0.00030,0.042,nan
5,146720,4,ppo,0,0.00030,2.658,2.817
7,146720,4,diet,0,0.00030,1.108,nan
5,148640,4,ppo,0,0.00030,2.992,1.858
7,148640,4,diet,0,0.00030,-0.008,nan
5,151920,4,ppo,0,0.00030,2.092,2.217
7,151920,4,diet,0,0.00030,1.667,nan
5,153840,4,ppo,0,0.00030,1.583,1.133
7,153840,4,diet,0,0.00030,0.625,nan
5,155760,4,ppo,0,0.00030,2.908,2.600
7,155760,4,diet,0,0.00030,0.333,nan
5,157680,4,ppo,0,0.00030,3.367,3.917
7,157680,4,diet,0,0.00030,1.125,nan
5,159600,4,ppo,0,0.00030,4.433,2.225
7,159600,4,diet,0,0.00030,0.183,nan
5,161520,4,ppo,0,0.00030,2.967,0.733
7,161520,4,diet,0,0.00030,1.083,nan
5,163440,4,ppo,0,0.00030,3.200,2.325
7,163440,4,diet,0,0.00030,1.733,nan
5,165360,4,ppo,0,0.00030,0.533,1.408
7,165360,4,diet,0,0.00030,2.108,nan
5,167280,4,ppo,0,0.00030,2.350,1.708
7,167280,4,diet,0,0.00030,0.517,nan
5,169200,4,ppo,0,0.00030,1.333,2.033
7,169200,4,diet,0,0.00030,1.325,nan
5,171120,4,ppo,0,0.00030,4.108,1.433
7,171120,4,diet,0,0.00030,3.258,nan
5,173040,4,ppo,0,0.00030,4.100,1.567
7,173040,4,diet,0,0.00030,2.392,nan
5,174960,4,ppo,0,0.00030,2.467,0.000
7,174960,4,diet,0,0.00030,2.358,nan
5,176880,4,ppo,0,0.00030,3.108,3.017
7,176880,4,diet,0,0.00030,1.217,nan
5,178800,4,ppo,0,0.00030,2.442,0.117
7,178800,4,diet,0,0.00030,0.283,nan
5,180720,4,ppo,0,0.00030,5.408,1.850
7,180720,4,diet,0,0.00030,1.408,nan
5,182640,4,ppo,0,0.00030,3.725,3.550
7,182640,4,diet,0,0.00030,1.142,nan
5,184560,4,ppo,0,0.00030,4.492,2.750
7,184560,4,diet,0,0.00030,-0.250,nan
5,186480,4,ppo,0,0.00030,1.117,2.733
7,186480,4,diet,0,0.00030,0.408,nan
5,188400,4,ppo,0,0.00030,2.092,0.008
7,188400,4,diet,0,0.00030,1.042,nan
5,190320,4,ppo,0,0.00030,2.300,-1.467
7,190320,4,diet,0,0.00030,0.842,nan
5,192240,4,ppo,0,0.00030,3.625,-0.025
7,192240,4,diet,0,0.00030,0.225,nan
5,194160,4,ppo,0,0.00030,2.992,1.925
7,194160,4,diet,0,0.00030,0.725,nan
5,196080,4,ppo,0,0.00030,4.008,1.158
7,196080,4,diet,0,0.00030,-0.208,nan
5,198000,4,ppo,0,0.00030,2.225,-0.892
7,198000,4,diet,0,0.00030,1.083,nan
5,199920,4,ppo,0,0.00030,2.975,1.367
7,199920,4,diet,0,0.00030,1.392,nan
5,3840,4,ppo,0,0.00030,1.408,-0.217
7,3840,4,diet,0,0.00030,0.792,nan
5,7680,4,ppo,0,0.00030,3.525,3.742
7,7680,4,diet,0,0.00030,0.300,nan
5,11520,4,ppo,0,0.00030,2.342,2.917
7,11520,4,diet,0,0.00030,-0.158,nan
5,15360,4,ppo,0,0.00030,1.717,1.425
7,15360,4,diet,0,0.00030,1.508,nan
5,19200,4,ppo,0,0.00030,3.258,2.158
7,19200,4,diet,0,0.00030,2.492,nan
5,23040,4,ppo,0,0.00030,4.983,0.125
7,23040,4,diet,0,0.00030,2.200,nan
5,26880,4,ppo,0,0.00030,2.875,3.575
7,26880,4,diet,0,0.00030,0.850,nan
5,30720,4,ppo,0,0.00030,5.592,1.517
7,30720,4,diet,0,0.00030,1.717,nan
5,34560,4,ppo,0,0.00030,5.292,2.050
7,34560,4,diet,0,0.00030,0.083,nan
5,38400,4,ppo,0,0.00030,3.683,0.850
7,38400,4,diet,0,0.00030,0.183,nan
5,42240,4,ppo,0,0.00030,1.933,1.300
7,42240,4,diet,0,0.00030,2.100,nan
5,46080,4,ppo,0,0.00030,2.667,3.325
7,46080,4,diet,0,0.00030,0.458,nan
5,49920,4,ppo,0,0.00030,2.475,2.342
7,49920,4,diet,0,0.00030,1.983,nan
5,53760,4,ppo,0,0.00030,2.042,2.550
7,53760,4,diet,0,0.00030,-0.125,nan
5,57600,4,ppo,0,0.00030,5.225,2.567
7,57600,4,diet,0,0.00030,0.833,nan
5,61440,4,ppo,0,0.00030,3.292,3.100
7,61440,4,diet,0,0.00030,0.875,nan
5,65280,4,ppo,0,0.00030,3.258,0.475
7,65280,4,diet,0,0.00030,0.525,nan
5,69120,4,ppo,0,0.00030,2.733,2.067
7,69120,4,diet,0,0.00030,1.325,nan
5,72960,4,ppo,0,0.00030,1.825,0.967
7,72960,4,diet,0,0.00030,1.517,nan
5,76800,4,ppo,0,0.00030,2.975,0.900
7,76800,4,diet,0,0.00030,1.792,nan
